   -470.70      241.57       -0.59       26.28        0.04        0.03    -1209.92
   1233.59      294.96        0.67       32.34        0.02        0.02     3170.92
   2167.57      351.79        0.70       34.15        0.01        0.01     5571.70
    161.35      511.25        0.83       18.27        0.10        0.11      414.73
   1906.87      609.57        0.78       30.34        0.01        0.01     4901.57
    158.38      769.10        0.85       16.38        0.09        0.10      407.12
     43.61      786.47        0.65       10.95        0.21        0.16      112.09
     98.39      912.01        1.05       13.74        0.17        0.14      252.90
    117.38      934.99        0.84       13.34        0.10        0.10      301.73
    508.95     1121.21        0.92       17.74        0.04        0.03     1308.25
    201.64     1239.37        1.12       18.81        0.11        0.10      518.31
    179.54     1378.79        1.12       12.75        0.09        0.08      461.51
   1679.33     1462.18        1.06       27.19        0.02        0.02     4316.67
     75.23     1510.38        0.95        8.17        0.12        0.10      193.38
     41.80     1662.53        1.12        6.59        0.20        0.16      107.43
    129.74     1731.09        1.11        9.53        0.09        0.07      333.50
    603.33     1766.22        1.15       16.38        0.03        0.03     1550.84
     89.07     1849.24        1.18        7.18        0.10        0.10      228.96
     38.85     2105.51        1.44        6.18        0.28        0.19       99.86
     53.09     2120.54        1.24        5.65        0.15        0.12      136.47
    199.27     2206.24        1.22        9.65        0.06        0.06      512.21
     49.83     2450.28        1.44        5.75        0.19        0.17      128.08
    390.42     2617.24        1.42       14.09        0.06        0.04     1003.56
